参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
收car 靚grade source,Pm,Pm,Pm,1,5,,,,,
fyp仲有冇得調組,pm 傾下？,我都係lms,要上堂,1,7,,,,,
HLS Component 4 Wrap up lect,想問下今年Sem1果個上左未過左個Deadline唔記得Reg同埋今年Sem2會唔會都有(往年有無？)求解答thanks!,,,,,,,,1,1
過期冇換新學生證一問,Ok thx🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️,我都冇換…,學校話八月份會有安排,1,4,,,,,
招募信任嘅同學仔！,me dept?,WhatsApp 5988 9⃣️134,小弟啱啱初創，買賣生意希望可以group到一班正常唔toxic而又想搵錢嘅朋友最近呢邊要緊人如果大學裡面人脈都廣嘅可以一齊合作！,1,3,,,,,
有冇人試過叫department pre reg過？,佢pre reg晒year 4嘅俾我 但連year3嘅都未讀完,係咪同program leader 講？,,,,1,2,,,
想溝29fbsa zara求攻略,❤️❤️❤️❤️❤️,push,但都鐘意😂,1,14,,,,,
點解poly咁靜,What is “?” Symbol,好似每年暑sem都係咁🤣🤣,檸檬糕 dllm,1,10,,,,,
AF4320 corporate finance,ansonwong？,Ansonbean 好啲,,,,6,,,,
科目後面有個C字即係用中文教？,考試 presentation 其實c班都要用普通話,正常pre reg都係p尾㗎喇，自己再reg返c尾囉,科中文p字尾😨 唔係咁玩我啊,1,5,,,,,
時間表係咪聽朝出？,我都想知lolll 得一科pre reg,想問下Registered Subjects & Study Pattern得一科係咪正常😵‍💫利申Senior entry,唔知有無dayoff?,1,3,,,,,
舊hall邊個好啲？（唔想有太多hall活動🙉）,填完唔一定搵你 會揀下人,物華個google form 填完咩消息都冇 有冇人知咩事,,,,2,15,,,
Exchange一問,咁我應該係想問第一個～ 我想下年9月即係我year 3 sem 1去exchange,9月year 2,CBS,2,9,,,,,
有冇人讀緊SHTM,唔pass要比錢考到pass為此,Tourism有 不過係optional,果科個code係htm100,1,11,,,,,
MM3462 AI & Big data Elective,唔該晒~,咁唔揀啦 pastpaper都無,新科嚟 好似係,1,4,,,,,
一齊打email叫poly 轉hybrid ?,理性啲講 其實hybrid想返嘅可以返 又冇咁逼 有得online有時更flexible 唔想返嘅可以屋企照上不過代價係有一班人會有藉口唔上堂 因為online真係好易掛機 然後gpa就gg了😂,扮咩驚中招 唔想出咁遠返學咋？🤣,又唔係叫你quit 真係驚咪休息下下個sem先繼續讀😂,7,11,,,,,
ELC William定系Zarina好d,Elc3222?,,,,,,,,2,1
Car B D 唔洗寫essay號 有咩推介？,好易,Me car D Cancer 都A-,cancer 50%essay,1,5,,,,,
想問點先可以爆21 credits選科,今個sem諗住take 22.25 study load，但聽講爆21 credits需要申請。請問點样申，同埋邊個理由易accept？🙏🏻（FENG EIE year2）,,,,,,,,1,1
__,有 pass就得,如果prerequisite嘅course C咗 有冇得照reg minor?,GPA 2.5,1,13,,,Minor 問一下,,
Afs Terry食下莊kk,好耐之前啦,,,,,,,,1,1
Hall Gym,要,想問hall gym room要唔要上堂先可以用？🙌🏻,,,,1,2,,,
齋留喺屋企做簡單問卷 即攞到$150超市禮劵😀😀,ok,下個sem會通知大家拎～,,,,1,5,,,
SL推介！,想知+1 淨係聽過眼仔😵‍💫,,,,,,,,2,1
末代高考生康仔的故事好感動，雖然我不明佢上堂噏乜,10年前康康放榜,康康上水啦，分享吓你 ce al分啦,重點佢吹到 CU BME好好咁，又多 funding  ，exchange 機會,2,11,,,,,
幾時有得攞畢業證書？,11月,1,1,2,4,,,,,
exchange值唔值得defer,咁intern呢啲就唔同情況啦呢啲係畢業要求,想話我申請時候冇excel表 淨係俾左個database嘅website 上面嘅資料其實有啲少,例如因為intern 所以要defer,3,27,,,,,
__,有冇民殷想轉務賢(男),有冇師兄想同我調🥺🙇,,,,1,2,男，求務賢轉物華,,
Hss莊員candy好靚,1,candy落莊 少咗見佢好可惜,❤️❤️,3,56,,,,,
拉高 GPA,defer,爆4先有,沒有機會,1,5,,,,,
想搵番一個女仔，Poly 英文系,矮矮細細，少少baby fat,Yr4 la,知唔知year幾？,1,6,,,,,
點睇排soc班人,想知,,,,,,,,1,1
Reg 科,@janice_926,Tg ?,更正返，新入學轉咗少少係叫Car A D M N，同埋好似無咗csr但係大致玩法同往年應該差唔多,1,6,,,,,
想溝28fbsa Hailey 求攻略,想溝kai chung求攻略,28 peggy正好多,,,,1,2,,,
claw考試範圍,求source,有冇source,A+咗,1,5,,,,,
生仔會改咩名,蕃茄,寵茂,啟聰幾好聽,1,3,,,,,
有冇人去過polyu 籃球選拔 難唔難入？,想知最後結果？有去？,係中學個陣唔差嘅😂😂😂,17幾,2,8,,,,,
新生入學 點樣揀時段￼八月返去攞學生證￼,試下打電話去AR,如果嗰兩日都唔得閒攞應該聯絡邊到？係啲資料到搵唔到,到8月中e admission 就有得book,1,4,,,,,
polyu有冇ielts discount?,留名 係咪有refund？,,,,,,,,2,1
Fbsa Tony+Noa討論,做保險先正，成支莊可以sell。不過佢哋咁chur 實比人投訴,保險佬已block,👍,1,6,,,,,
點解fbsa咁多靚女,咁都叫靚係咪痴咗線,有無相睇下,200/1q,1,6,,,,,
收so2s01 source,Pm,Pm,,,,1,12,,,
__,dm咗你,C here!,想揾絲一齊操 利申絲 poly or 247 都ok,2,18,,,想搵師兄一齊做gym,,
要人！design炒散！,📷,,,,,,,,1,1
__,想問吓senior entry 可唔可以呢個暑假搞掂WIE😹,比 但要原因解釋,如果無係翻intern前就比佢批o唔ok？,1,4,,,想問下AF Intern 點upload 上去比佢批？,,
小城風光casting,見到你msg，不過過左期覆唔到呀,你中咩角色呀,hello,1,5,,,,,
crcw 過字數,唔會扣分，don’t worry,過左嘅字數唔會改,唔係maximum 3300咩?,1,6,,,,,
FYP reflective essay,想問AF reflective essay係咪要academic,,,,,,,,1,1
service leadership,I have,Do you still have care source?,@Onelivehaveluck 加 tg 傾,2,40,,,,,
__,Have source,Pm,Pm,1,7,,,收 MM3111 A range source,,
__,😂聽聞佢比較嚴格,Bingo. 係咪killer黎？,Gary Tsui ?,3,5,,,STEM 嗰科個Gary sir 好仆街 好無禮貌,,
__,"Same here, 不過打算返x core做",得～ 入group～右上角,Sorry 冇check 依到一排 仲可以搵你？,6,16,,,認真！想搵人一齊係hall gym push自己做gym,,
CBS1A01P,求Cherie wong 教嘅source,Pm please,可唔可以sd畀我呀～,1,5,,,,,
打針￼🙏🏻🙏🏻,個code係連曬所有資料,想問個打針/康復qr code學校check唔check到啲個人資料 定係淨係check到有冇效,打定針九月返學校上堂考試present,2,21,,,,,
reg hall比朋友地址會5會check?🥲,ok 謝謝🫡🙏,地址要有證明 因為佢system默認左你原本既地址,人數盡量填多啲,1,6,,,,,
放claw csr A Range source,Pm,pmpm claw source,pm,1,12,,,,,
求AF4513 CSR essay source,求source🙏🏻,,,,,,,,1,
有冇人讀緊LEM或者EEM?,ching讀過？,都係廢物major，差不多,有冇師兄讀緊？唔知揀咩major😮‍💨,1,3,,,,,
女 利生轉物華,唔該曬,已經成功轉到,,,,1,5,,,
物華轉學敏,halo,halo,,,,2,11,,,
SO2S01 眼仔 Lab test 做成點?,驚驚哋,好難？,含左,3,,,,,,
王兆康鐘意乜類型女人,Push,日系美女,知道又點？,1,4,,,,,
有冇So2s01 眼仔同伴,Lab4 grpA,有冇人係Lab3 groupA?,Pm,1,7,,,,,
放Company Law textbook 15th ed,放claw textbook 15th edition Vanessa Stott有包書 有意pm,,,,,,,,1,1
招design同學做project/返part time,"有個project想請讀design嘅同學仔可以寫cv, wie & 有人工有興趣pm",,,,,,,,1,1
Cancer 有冇人拎C,Me A-,唔好，100題 MC無得改,,,,1,8,,,
有冇人收到non jupas offer?,有,,,,,,,,2,1
暑sem late drop,唔係冇嘅 你要諗個好詳盡嘅原因解釋 令dept肯批你drop,想知有無得drop,,,,1,2,,,
Phoebe 都係想出名姐,邊個？,佢做咩,來,1,4,,,,,
Sem1 幾時reg科？,8 月😵,同上,,,,1,2,,,
一人一個臭*扮女神例子,不舉,舉唔曬,實在太多,1,3,,,,,
Phoebe3324_ 真係好尷尬🙈,想知,咩事,係人都睇得出你痴埋去班勵志老鬼到扮fd搏mud啦😂😂 扮哂positive 明明就係勁負面 屌你老母🙂,1,3,,,,,
ELC LCR 2 2011 12 13 14邊個好,2011 A-!!!!!!,2014 B+,Elc 2013 B- B B overall B,5,17,,,,,
收APSS1A21M Source,有冇人有Source?,B+都ok,"最好有A range, thx",1,3,,,,,
收APSS2S09 sources,Pm,Pm pls,Pm,1,6,,,,,
AF4513 收source,.,,,,,,,,1,1
Afs kaichung有冇得住hall？,投訴,支持你🤣,想投訴佢🤣,2,18,,,,,
Modern terminal intern,有冇人聽日返？,,,,,,,,1,1
放service leadership source,pm,"想收source,請pm thx",,,,2,18,,,
Summer sem係咁走堂...,上夜晚=走堂世界,有冇人都係係咁唔記得上堂 已經唔記得左上3.4次 好驚唔夠attendance...,,,,2,2,,,
yr2 waiting list大唔大機入hall?,我y2排到sem2,Yr2 好想住hall，入吾到🥲會唔會有機會住到？,,,,1,2,,,
放Apss1a07 A range source,Pm,pm,,,,1,9,,,
點樣先計住咗一年hall,最尾嗰一日Quit算唔算,,,,,,,,1,1
有無成德絲想調民殷,有意pm,,,,,,,,1,1
有冇成德絲想轉學敏🫶🏻🥺,學敏想轉物華/民/其他都ok🥺,pair up咗嘅都可以！,,,,1,2,,,
__,Pish,Push,有無人知幾號reg,7,5,,,2022/23 Sem1啱啱出咗Subject list,,
有冇人有興趣玩online poker,有興趣玩online poker可以pm我😉,,,,,,,,1,1
Lsgi 淫Joseph,LSGI...個Charles同佢PhD學生攪埋一起😅,Btw 仔 佢都比A🫢👀,邊個,3,17,,,,,
民事可以搵學校邊個幫手,無,,,,,,,,1,1
收EE2001 source,pm,我有,pm,1,3,,,,,
收EE Lv.3 source,pm,can pm me,I have,1,3,,,,,
有冇orange想轉yellow？男,有冇orange想轉yellow？男 pm plz,,,,,,,,1,1
跪求RS/物治source!!!🥲,有冇final written嘅source,冇呀🥺,"I have, Pm me",1,5,,,,,
覺唔覺d 轉hall po好煩,咁你又講?😅,dllm 全部調hall嘅都係女人，我係巴想搵人同我調都冇😂,,,,1,2,,,
勵志係咪已經冇乜人鐘意,笑死,重女唔代表畀你溝,點樣重女法,1,6,,,,,
有無人想成德轉民殷(2絲),有意pm,,,,,,,,1,1
有冇絲想開元轉物華,Anyone,U can?,！,1,6,,,,,
民殷轉成德x2,學敏想轉物華/民/其他都ok🥺,有意pm,,,,2,2,,,
有無絲係物華想轉民殷🥺？,有無絲打想物華轉去民殷呀🥺🥺衷心感激🥺🙏🏻🙏🏻❤️,,,,,,,,1,1
求APSS1A21 source,Pm,Pm,Pm,1,15,,,,,
其實點轉hall,認真問 求解答🙏🏻,,,,,,,,1,1
務賢想轉開元 （2男）,想轉開元打機,,,,,,,,2,1
__,打電話打多幾次就book到到 不過通常都係兩三個星期後,唔係啊嘛😭😭😭我見佢個網明明仲有得book6月尾 一陣打電話問吓先thx😢😢,我係打電話 琴日去睇個陣聽到佢話已經book到7月中,1,4,,,有冇人上網成功book到洗牙？,,
__,pm,pm,,,,24,,收 CBS1A26P 華藝人生source🙏🏻,,
有無民￼￼殷轉務賢 或者務賢轉民殷 絲,Pm!!!,Hi,,,,1,4,,,
住務賢hall好唔好！！,pushpush,pushhh,成日違反限眾令,1,3,,,,,
有冇人入咗￼民殷,想調,,,,,,,,1,1
Reg hall 一問🙏,通常冇 但係就算冇你都照計會收到email,"如果poss話application is being processed,（冇收到email) 係咪即係冇機會住hall？😭",,,,1,2,,,
__,學敏轉民殷🙏🏻,新hall,自己唸啦,2,29,,,求高人指點揀咩Hall好？（舊hall）🫣,,
求RMS source 🤪,Research Method Statistics,,,,,,,,1,1
FYP🙏🏻🙏🏻求解答,Yes me sd email搶,Yea 填form搶,想問係唔係要靠搶題目🥲 因為intern冇上bridging 睇中左題目email prof結果話topic full左🥲,10,,,,,,
AF4320 CFin 分組,有冇sem002?,Hello,Hello,4,,,,,,
Exchange school幾時先會send email?,我係sem1去條timeline係一月收到FB nomination四月先收到exchange school嘅application email,你之前係太約開sem 前幾耐收email?,Yes of course,1,15,,,,,
求apss1b14 source🤧,have source too 有興趣可pm 😉,Pm,Pm,2,30,,,,,
收apss1b14 source,pm,Push,Pm,1,9,,,,,
揀Major使唔使同academic advisor講？,如題🥹,,,,,,,,1,1
LMS Year 3做FYP,有冇人一齊做，集齊2/3個就apply,,,,,,,,1,1
Crcw係咪可以唔交第一文稿,ching 有A range source 平放 有冇興趣😉,🔥加入全香港最大聯盟，為大家帶來一個更舒適更好玩既Poker平台🔥1000人在線 多台多腳多魚多選擇 人氣旺盛🔆Poly學生另有高回水 香港代理 🎉 📌Poker NLH 📌13張 📌OFC 📌PLO4-6 ♥️♠️快d入黎試玩🎰內設Jackpot 及保險💰💵 贏錢無難度🙆🏻‍♂️⭐️完全公平機制 隨機發牌⭐️GPS，IP定位功能 防止夾打出千 定期有管理員監場♥️♥️♥️♥️立即加入: 1.請先下載XPOKER APP2. X-Poker join club請按以下LINKhttps://xpoker.page.link/hRUk手動輸入俱樂部ID: 360000推薦人ID: 531115 (必須要入）🔥任何時候轉返錢走都得 🔥出入錢方便快捷！Buy in please pmTG:nocommunist/存款/提款：1.轉數快FPS2.Payme,係第二稿先計,1,10,,,,,
想問apss1b15難唔難 靚唔靚grade,Project同essay大概係做咩😢🙏🏼,,,,,,,,1,1
下個 sem係咪康康教 car d?,佢太受囡囡歡迎,肥仔？,王兆康？Dexter?,1,3,,,,,
Service Learning MC,用n個account 做,點先可以攞高分,想問吓大家service learning mc 幾多分🤓Total 20題🤗,3,,,,,,
CC2C05P,pm ed,我pm唔到你 你試下睇下pm我,pm,1,21,,,,,
有住暑sem既人係咪都10-12/7 調房？,🔥加入全香港最大聯盟，為大家帶來一個更舒適更好玩既Poker平台🔥1000人在線 多台多腳多魚多選擇 人氣旺盛🔆Poly學生另有高回水 香港代理 🎉 📌Poker NLH 📌13張 📌OFC 📌PLO4-6 ♥️♠️快d入黎試玩🎰內設Jackpot 及保險💰💵 贏錢無難度🙆🏻‍♂️⭐️完全公平機制 隨機發牌⭐️GPS，IP定位功能 防止夾打出千 定期有管理員監場♥️♥️♥️♥️立即加入: 1.請先下載XPOKER APP2. X-Poker join club請按以下LINKhttps://xpoker.page.link/hRUk手動輸入俱樂部ID: 360000推薦人ID: 531115 (必須要入）🔥任何時候轉返錢走都得 🔥出入錢方便快捷！Buy in please pmTG:nocommunist/存款/提款：1.轉數快FPS2.Payme,唔想呢三日有roomate搬入黎,宜家自己一個一間房 好舒服,1,3,,,,,
求CC1C07P T01 Groupmate🙏🏻,Hi🙏,唔freeride 一齊靚grade pls😭🙏🏻,,,,2,,,,
istl/gcsm/aml capstone project,呢層我唔知道，佢係fd 嘅fd，冇同佢講過野😓,全組都year 3定有yr 3有yr 4,我冇試過，但係有聽過有人想year 3 做，佢揾到有組（本身得3個人）肯加佢入group 做fyp,1,16,,,,,
有冇人一齊夾買sketchers ￼護士鞋？🥺￼,就嚟出placement 想買鞋~但係買2對先有七五折 有冇人有興趣一齊夾！,,,,,,,,2,1
Hkcc可以入poly打羽毛球？,好意思咩,🙈,,,,1,2,,,
收ME1D01 A range source,Pm,pm,收source,1,3,,,,,
新學生證,The deposit in PolyU Online Student Services (POSS) is not stored in the Student Identity Card thus it will NOT be affected by the card replacement,Poss deposit用黎book場打波嗰啲 但平時起福記入錢或者咩printing quota都無得退番出黎,咩叫POSS嘅deposit? 同卡入面嘅錢有咩唔同,6,31,,,,,
放Me1d01 source 有齊所有野 有exam,pm,pm,$130 a grade have proof,1,7,,,,,
暑sem reg科點先知成功reg到？,yes,姐係出年reg嘅話又要重新排過？🥲,收唔到email就會自動幫你清洗,1,8,,,,,
Afs淫蟲選舉,我入到嚟.gif,==已經有超過140人投票==,點解無ken lxxxx,1,20,,,,,
大家Bfin咩grade,Sad🥲,grade冇變🥲,可唔可以pm問你啲野？,1,27,,,,,
收htm1c06 source,pmlm,Pm,,,,1,2,,,
如何搵唔熟嘅prof寫推薦信申請scholarship,應該係poly成績？,一萬幾都係錢啊😚有殺錯沒放過,係用exchange學校個成績報定poly成績報啊🤣,2,9,,,,,
LIFE AND DEATH 招人做weekly test,Test輕鬆90%,pm,,,,1,7,,,
__,收到invitation 但reject左,堅？你in咗？,見過有人in完即請,1,4,,,hkexpress interview invitation,,
搵CC1C07P groupmate🙏🏻,Sorry 03🙏🏻,我係T1班🙏🏻 啱唔啱？,Pm,1,11,,,,,
有冇人放CBS2631 既書🙏,"$100,000 ",Pm,Pm,1,7,,,,,
Waiting排100有冇機會(ser learn),想得太多～,1,68,1,15,,,,,
☺️,push,push,push,3,,,,收CSE1B02 source,,
Wynants Ho SL俾分如何,發生咩事😱,B range,How bad?,1,6,,,,,
CSE1D03算唔算靚car,Same question 🙏🙏,請問一下咁多位讀過嘅ching😭,,,,1,2,,,
__,"Thanks, 原來有啲科原本只限某啲人讀 但adddrop最後兩日會開放比public",如果Programme code唔係33375 41373 43499 48402，Add/drop最後兩日先可以reg,應該係同subject and program code 同埋syllabus唔同有關,3,9,,,Reg唔返原本要讀嘅科。。,,
__,test主要考咩😪，同埋essay邊條易做,,,,,,,求cbs1a26p essay test source,1,1
Poly有話過換學生證？,咁我係Shaw service counter嗰度增值嘅錢算卡入面定係POSS?,換之前要攞走卡入面啲錢先 但POSS入面嘅錢又唔關事,要出示到舊嗰張先會比你換新,3,14,,,,,
__,有冇Ching放呢科source？🙏🏻,之前讀輕鬆A,真係唔使驚，好基本嘢，其實個個本身都唔識，等於你讀眼仔唔同個個視光師咩,1,10,,,BME2S04S讀唔讀得過？,,
放APSS1A07/111 CBS1C06P source,pm,樓主here 有意PM,Pm🙏,2,16,,,,,
4年 gpa係咪equally weighted ?,如果有讀minor，minor其中3科(9 cred) 可以當free elective。即係你唔需要額外再讀free elective。,"咁係咪即係如果major要讀3科 free electives,我地可以讀少一個 free elective 因為可以申請同minor 嘅compulsory 科 share common credit ?",非常搞笑嘅問題 係計cred同level 雖然大部分科都係3cred 但有啲係1cred 2cred 6cred，level 3 4 嘅科大約乘一點五,3,10,,,,,
收HTM1C06 source!,Pm,No way,Sorry 過左期 可唔可以繼續對話 thankss,1,15,,,,,
BME1D04 appeal 有無成功個案,A+仲可以點appeal,,,,,,,,1,1
要讀Apss2s09s好驚,唔撚係掛,之前有friend試過,冇 佢要你入翻去做翻,1,15,,,,,
Ser learn 排126,冇,有冇機,,,,1,2,,,
有冇人appeal過,唔大,有冇人appeal過 low grading機率大唔大,,,,1,2,,,
__,Pm,Pm,How much pmpm,4,,,,放company law書,,
學校有冇咩資助for考ielts？,😨,下年取消,今年Final year 有得免費考,1,6,,,,,
收APSS1B14 hk society sources!,p m,Want,,,,1,16,,,
有冇人有reg CLC3221P,有开,呢個sem有開咩,Blackboard好似仲係咩都冇。 。。,1,3,,,,,
有無人報咗BRE217 scholarship?,Lm,有無人收到Mr Mike Wong Real Estate Development Scholarship嘅group interview? 知唔知會問乜？,,,,2,2,,,
有冇人讀過APSS2S09S,伏到呢,俾狗讀,本身呢科都爛grade 邊個教冇咩分別,8,15,,,,,
有冇ser learn source,A range都有機 但一定唔係個個,唔使source啦 兩科都靚，ser learn只要唔係apss其實都唔會差得去邊，起碼有b,,,,1,5,,,
Drop 唔drop life and death 好？,讀car其實可以揀自己有興趣嘅嘢嚟讀，個人覺得有興趣先會有心機讀，有心機讀先會靚grade,Sem 2讀完，大部人都有A- or A，包括我。個人覺得好讀，workload唔大。,,,,2,4,,,
Apss2s09 垃圾科,係goop 個個都話自己A，到底係真定水9人就見仁見智😂,真 遇上Titus 呢條仆街 😤不過最後A-左🤪,但Final grade得c-,1,5,,,,,
有冇Business人入到bank嘅summer,pm,介唔介意分享下邊間,"啱睇咗😑, max salary 36k, 即係基本上冇人入到ibank",1,10,,,,,
暑sem讀兩科加返兩日工會唔會太辛苦,我返緊份full time，再加3科tim,讀ser learn嘅話，更加,會,1,4,,,,,
service learning,D,Ching咩grade?,樓主仲要講緊s字尾，即係一個暑假讀曬嗰d🤣,2,14,,,,,
有冇人知通常下個學年sem2 exchange幾時開始報,fce,個個faculty唔同 你邊個？,利申: fm🥺,1,3,,,,,
有冇人有醫生介紹？,識一個,pm,本人有病歷但未搵到醫生寫紙免針希望有好心人介紹有酬感謝🙏🏻,1,3,,,,,
求ABCT1D04 source,Push,,,,,,,,1,1
求HTM1B05 source🙇🏻‍♀️,同求 +1,同求,,,,2,2,,,
有冇人讀ENGL2B02,Hi,想睇下有冇人想一組,,,,1,2,,,
聽日要返學啦,全面f2f係下年sem1,Suppose整體係hybrid 得個別要f2f,我搵到啦🤣🤣,3,10,,,,,
ISE LEE GPA通常幾多？🤣,同啲fd都過3,,,,,,,,1,1
Gym room冇得揀X123定X202,Poly太多人gym又細。。,見到了thx 原來要揀埋日期先見到😂 平時我直接揀地方再睇嚟緊個禮拜邊日有位,要8點半起身reg😿,1,8,,,,,
收AF4331 Business Valuation,收AF4331 A range source～～,,,,,,,,1,1
有冇人想minor ama,搵隊友😋,,,,,,,,1,1
有冇IRD intern,我會話呢啲盡力做好就得 唔駛話一定100%冇關聯 如果唔係自己都唔會開心,一味要求人地唔好做政府唔好做藍店 之後自己去消費自己去攞政府津貼讀書 lol,好多人講一套 做一套😁笑死,2,18,,,,,
有冇人黎緊yr4讀過business valuation,pm,有,,,,2,2,,,
收ama1d04 abct1d04 source,Pm,Pm,pm,1,7,,,,,
暑sem讀CBS1C29揮手區,有冇人有source,here,,,,1,2,,,
__,有冇大佬有source,,,,,,,求 CBS1C29 source,1,1
Afs係咪好藍,幾時拆？,佢成棟va都拆,應該afs同fbsa都會無埋,1,16,,,,,
cse1d03m伏？,推,如題,,,,1,2,,,
EY summer internship,Me,Anyone 1/6 on board,Ching Year 1 有冇返intern,1,7,,,,,
暑sem大家￼返唔返去,pm,Any study buddy?😂,純粹民意調查,1,3,,,,,
放intro to psycho sources,Ok,Pm,1,2,39,,,,,
有冇人暑sem reg 左ELC?,1013,👋🏻,,,,1,2,,,
life and death cbs1a18,81 a,"Ching, 幾多分?",B+,1,6,,,,,
Appeal against result (ELC3221,ELC2013 B,Btw ELC C range can be normal,咩grade,1,11,,,,,
有無人靠請槍A 左？,Same same,samesame,我靠自己A左,1,8,,,,,
Tmr Leader 個分好曳￼咩 咁多人叫春？,Attendance 👀,輕鬆A,當年輕鬆A,1,4,,,,,
__,1,求科Code同埋邊個Lecturer,Which subject?,2,13,,,就開Sem￼喇！暑sem鬆手啲？,,
__,https://www.youtube.com/watch?v=IeknVm_ccDk&t=1s,美國聽日公布制裁 港股最少跌返300點先,美股重有得升多日嘅 但都係即日鮮 唔好長揸 局勢唔明朗,43,118,,,有冇投資?,,
完sem 識人區🤝🏻🫶🏻,Pm,Ig: kai_chungg,175 year 2 瘦ba   想識女仔   pm🤓🤓,1,10,,,,,
邊科Car靚grade?,英文有D難明，不過都acceptable。我覺得唔使econ底，但係冇嘅話就要俾多D心機，同埋preview/rewiew真係好緊要,英文難唔難聽？駛唔駛DSE Econ 底？,How about apss1b14,4,36,,,,,
男仔招女友專區(自介+留ig),推,想出pool,push,1,5,,,,,
有無人知最遲可以幾時appeal ？,🙏🏻🙏🏻,,,,,,,,2,1
收APSS1A21 同 HTM1B03P 嘅soure,收A range soure,,,,,,,,1,1
"求救, appeal 寫咩reason",雖然我都想appeal( 係唔滿意成績)， 但係唔知寫咩reson😅Student Handbook講到明，唔滿意成績係唔會處理appeal。費事嘥錢。又冇evidence😭算了,同subject leader 傾吓 唔掂嘅話先 appeal,對完卷之後你覺得你自己答案啱嘅話 （作為自己嘅合理辯解）,1,9,,,,,
有關me1d01,"Sem 1 hybrid mode 個陣係group presentation, 有人online 有人番去present, 睇你好唔好彩搶到online presentation 位",想問下oral presentation of case study係group present定個人present? 同埋hybrid mode洗唔洗番去present🙏🏻,,,,1,2,,,
番programmer intern難唔難,pm？,Pm,Pm,3,22,,,,,
Apss1b14 grade點？,？,A+,,,,1,3,,,
有咩EREW靚grade？,APSS1B17 A 出source,CBS1A22 Creativity (Jack Chun) A,APSS1B18 A+,4,19,,,,,
招itc2s02 201 grm,我同另一個非itc major fd想搵itc grmPm pm😖🫶🏻,,,,,,,,1,1
Afs kaichung 食Fb lris,分咗手啦 依家同kxx cxxxx拍拖,其實關你咩事🤔,佢唔係已經有條仔喇咩 好似係正上上,1,16,,,,,
啲人一無咗VA就打回原形 繼續做返隻老鼠,va 全部執 沒收房間作重建,其實va做咩? 係咪要執? Sor for 無知😅,講到冇咗va係大家都想嘅結果咁🙏🏽,1,6,,,,,
AF FYP個分幾時會出？,有 B-,出咗，B+😡diu,B-,3,16,,,,,
Bre206 ￼圍爐,A,B-,求教,2,11,,,,,
幾時解散Hall莊,差唔多,就快,,,,1,2,,,
有無人知appeal要幾錢？,$150/1Q,$150 ,,,,2,2,,,
CBS1C12P 伏唔伏？workload 如何？,我有reg呀～,想問埋有冇人黎緊summer sem reg 左呢個car 🙈但係冇朋友一齊讀,想問下有冇人讀過🙏 grade 同workload 如何,1,3,,,,,
想問有冇人有bse科pp嘅solution,Pm,pm,樓主pm me,1,5,,,,,
Poly master 問題,Go to Block N and find AR,係 或者你send email問佢可唔可以遲啲交,"收到其中一科conditional offer,但佢payment deadline 係28/5⋯⋯仲要2皮幾non-refundable…唔俾係咪當放棄呢個conditional offer 🥲?",1,3,,,,,
__,Hohim係上任,今年好似無莊,Hohim,2,4,,,Lsgi現莊ig係咩？,,
international WIE,Hii 請問可唔可以pm問少少嘢🥲,做乜9,其實我想溝佢🤣 唔知wie有冇女朋友 會唔會好狗公,2,65,,,,,
IA2 慶祝區,quiz final 唔知幾多分,滿分,Mid term 9成？,1,77,,,,,
暑sem啲SL通常有冇位淨,鼓勵Ching 試下,請問reg SL可摸耳拉到gpa？,通常唔多位淨，不過唔會冇，上個summer我同d fd 都add 到,2,3,,,,,
__,Rip,Ama d+ +1🥲,我都係ama d咗🤯,5,7,,,D左不如肥埋我,,
AF1605有無人A range?,點慶祝？,有既請舉手,大把,1,6,,,,,
MM3422 exam 考成點,Ching 勁抽,呃你做乜😂,我嗰個冇派,1,62,,,,,
Af2504 Intro blaw討論區,A also,A,,,,1,62,,,
dynamic earth幾多分有A grade,So sad B+?,事實證明系冇嘅🥲🥲,有,1,8,,,,,
Sem1幾時開始reg科？,根據往年經驗23/7 出time table3/8 reg,八月廿幾 八月尾就係add and drop,預計八月（根據往年經驗）,1,3,,,,,
poly係未可以defer一個sem,thxxxxx！,one sem is ok,,,,1,4,,,
有無人知second low要gpa 幾- 幾？,2.4,,,,,,,,1,1
有冇港女唔係g,睇結果啦 投冇多過有,我覺得係甚少,On9,1,4,,,,,
AMA1501 咩grade？,真,上堂唔係娛樂喎,Allen Tai真係垃圾,1,8,,,,,
Her story咩grade？,上嗰sem啲人話過依家嗰prof係killer,終極靚車？,,,,3,2,,,
Apss1A24 grade,有冇人個final grade 同 quizzes 嘅分數差勁遠？😭😭,,,,,,,,1,1
__,Finally a- jor🤣🤣,其實係睇老師習慣,clc啲功課係咪唔比話比你知幾多分？,1,66,,,Clc midterm幾分,,
派 grade圍爐取暖區,我有窩,出左啦,+1 得FYP無,2,11,,,,,
大推 ABCT1D17 靚靚grade Prof. SO 好,Prof. So大推,呢科堅正！,A+咗！我好撚勁！,2,6,,,,,
Bfin Grade,條友喺每個post都聲稱自己A+,收啦😂全世界都未出grade 你會出左？笑死人咩,A+咗！我好撚勁！,1,4,,,,,
偷跑有未？,都冇出過,,,,,,,,1,1
